block_name,unique_question_counts,question_types
Product Preferences - Pricing,41,"['DB', 'MC']"
Non-experimental heuristics and biases ,5,"['MC', 'Matrix', 'Slider']"
Anchoring - African countries high,2,"['MC', 'TE']"
Anchoring - African countries low ,2,"['MC', 'TE']"
Anchoring - redwood high,2,"['MC', 'TE']"
Anchoring - redwood low,2,"['MC', 'TE']"
Proportion dominance 1C,1,['MC']
Outcome bias - success ,1,['MC']
Probability matching vs. maximizing - Problem 1,1,['Matrix']
Probability matching vs. maximizing - Problem 2,1,['Matrix']
Proportion dominance 1A ,1,['MC']
Proportion dominance 1B,1,['MC']
Absolute vs. relative - calculator,1,['MC']
Proportion dominance 2A,1,['MC']
Proportion dominance 2B ,1,['MC']
Outcome bias - failure,1,['MC']
Sunk cost - no,1,['TE']
Sunk cost - yes,1,['TE']
WTA/WTP Thaler - WTP noncertainty,1,['MC']
WTA/WTP Thaler problem - WTA certainty,1,['MC']
Proportion dominance 2C,1,['MC']
Myside Ford,1,['MC']
Myside German,1,['MC']
Absolute vs. relative - jacket,1,['MC']
Linda-conjunction,1,['Matrix']
Linda -no conjunction ,1,['Matrix']
Less is More Gamble C ,1,['MC']
Less is More Gamble B ,1,['MC']
Less is More Gamble A ,1,['MC']
False consensus ,1,['Matrix']
Disease-loss,1,['MC']
Disease - gain ,1,['MC']
Base-rate 70 engineers,1,['Slider']
Base-rate 30 engineers ,1,['Slider']
Allais Form 2,1,['MC']
Allais Form 1,1,['MC']
WTA/WTP Thaler problem - WTP certainty,1,['MC']
